               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.019929,             0.01774,           0.0044255,             0.82407,             0.74345,             0.79547,             0.58401,            0.029793,            0.020159,           0.0085728,           0.0046568,           0.0046568,           0.0046568
                 114,            0.019993,            0.017598,           0.0046323,             0.82398,             0.74311,             0.79574,             0.58461,             0.02981,            0.020186,           0.0085685,           0.0045875,           0.0045875,           0.0045875
                 115,            0.019807,            0.017449,            0.004371,             0.82749,             0.74078,             0.79555,             0.58524,            0.029822,            0.020206,           0.0085505,           0.0045184,           0.0045184,           0.0045184
                 116,            0.019827,            0.017234,           0.0044339,             0.82049,             0.74436,             0.79522,             0.58516,            0.029825,            0.020244,           0.0085578,           0.0044495,           0.0044495,           0.0044495
                 117,            0.019493,            0.017342,            0.004329,              0.8388,             0.73034,             0.79517,             0.58522,            0.029815,            0.020268,           0.0085779,           0.0043809,           0.0043809,           0.0043809
                 118,            0.019427,            0.017059,             0.00411,             0.84094,             0.72906,             0.79479,             0.58522,            0.029812,              0.0203,           0.0086064,           0.0043126,           0.0043126,           0.0043126
                 119,              0.0192,            0.017201,           0.0042924,             0.81881,             0.74565,             0.79484,             0.58514,             0.02982,            0.020348,           0.0086145,           0.0042445,           0.0042445,           0.0042445
                 120,            0.019012,            0.016948,           0.0042281,             0.81972,             0.74449,             0.79489,             0.58507,            0.029825,            0.020378,           0.0086418,           0.0041768,           0.0041768,           0.0041768
                 121,            0.019174,            0.016896,           0.0043851,             0.82763,             0.73881,             0.79499,             0.58502,            0.029824,            0.020392,           0.0086543,           0.0041094,           0.0041094,           0.0041094
                 122,            0.019275,            0.017027,           0.0043795,             0.83027,             0.73794,             0.79536,              0.5856,            0.029826,            0.020404,           0.0086515,           0.0040424,           0.0040424,           0.0040424
                 123,            0.018879,            0.016779,           0.0041024,             0.83446,               0.735,             0.79547,             0.58611,            0.029829,            0.020437,           0.0086346,           0.0039757,           0.0039757,           0.0039757
                 124,            0.018777,            0.016561,           0.0040563,              0.8344,             0.73397,             0.79525,             0.58623,            0.029833,             0.02047,           0.0086399,           0.0039094,           0.0039094,           0.0039094
                 125,            0.018647,            0.016513,            0.003948,             0.83287,             0.73551,               0.795,             0.58605,            0.029838,            0.020509,           0.0086461,           0.0038434,           0.0038434,           0.0038434
                 126,            0.018626,            0.016874,           0.0039087,             0.83058,             0.73714,             0.79503,             0.58618,            0.029843,            0.020538,           0.0086556,           0.0037779,           0.0037779,           0.0037779
                 127,            0.018448,            0.016487,           0.0039951,             0.82186,             0.74399,             0.79521,             0.58632,            0.029856,            0.020564,           0.0086518,           0.0037128,           0.0037128,           0.0037128
                 128,            0.018596,            0.016638,           0.0039923,             0.82466,              0.7431,             0.79528,             0.58629,            0.029864,            0.020593,           0.0086486,           0.0036482,           0.0036482,           0.0036482
